file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597665317929_0128,query40_cluster_500G,40,500,alpha,8,27,280492,200,15936.0,2452.0,572,749607.0,23317.0,43,89952.0,28720.0,200,1370158.0,101982.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 26, # tasks","stage 26, sum task time","stage 26, sum biggest task time of each exec"
spark-history/application_1597665317929_0133,query20_cluster_500G,20,500,beta,8,26,36793,200,26584.0,6129.0,200,16694.0,6518.0,572,248681.0,24546.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597665317929_0115,query84_cluster_500G,84,500,gamma,8,28,28417,200,96213.0,12880.0,65,84224.0,17104.0,9,9804.0,9629.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597665317929_0111,query40_cluster_500G,40,500,alpha,8,27,459479,200,21532.0,5041.0,572,875170.0,57355.0,43,85071.0,21064.0,200,1277974.0,108216.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597665317929_0134,query84_cluster_500G,84,500,gamma,5,28,39586,200,87964.0,8069.0,65,78292.0,11468.0,5,7002.0,7002.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597665317929_0122,query40_cluster_500G,40,500,alpha,7,27,286730,200,14914.0,3038.0,572,749614.0,19938.0,43,100414.0,34211.0,200,1125235.0,98648.0
spark-history/application_1597665317929_0138,query40_cluster_500G,40,500,alpha,8,27,273147,200,18024.0,3992.0,572,834638.0,102637.0,43,69503.0,14950.0,200,1248363.0,102609.0
spark-history/application_1597665317929_0118,query40_cluster_500G,40,500,alpha,8,27,338969,200,32398.0,6827.0,43,68851.0,7464.0,572,798564.0,37900.0,200,1290762.0,165389.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597665317929_0139,query84_cluster_500G,84,500,gamma,8,28,27241,200,97390.0,9915.0,65,75343.0,15072.0,9,10096.0,9887.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 26, # tasks","stage 26, sum task time","stage 26, sum biggest task time of each exec"
spark-history/application_1597665317929_0124,query20_cluster_500G,20,500,beta,8,26,35235,200,8980.0,820.0,200,16987.0,8977.0,572,226980.0,21887.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597665317929_0144,query40_cluster_500G,40,500,alpha,8,27,300424,200,14682.0,2692.0,572,816248.0,37664.0,43,107819.0,24643.0,200,1185997.0,109629.0

file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597665317929_0112,query84_cluster_500G,84,500,gamma,3,28,63149,200,92751.0,8280.0,65,89208.0,6709.0,4,5186.0,4562.0
